temp_ch_ipcc,model_author,gcm,period_scenario,experiment,mass_percent_rel_2020
1.664909941388102,GloGEMflow,ipsl-cm6a-lr,2021-2040_ssp585,ipsl-cm6a-lr_2021-2040_ssp585,62.62857390550769
1.664909941388102,OGGM_v16,ipsl-cm6a-lr,2021-2040_ssp585,ipsl-cm6a-lr_2021-2040_ssp585,31.219232825729858
1.664909941388102,PyGEM-OGGM_v13,ipsl-cm6a-lr,2021-2040_ssp585,ipsl-cm6a-lr_2021-2040_ssp585,26.205959135325244
1.6781632715811343,GLIMB,ipsl-cm6a-lr,2021-2040_ssp370,ipsl-cm6a-lr_2021-2040_ssp370,44.54400716768903
1.6781632715811343,GloGEMflow,ipsl-cm6a-lr,2021-2040_ssp370,ipsl-cm6a-lr_2021-2040_ssp370,69.37021011841131
1.6781632715811343,OGGM_v16,ipsl-cm6a-lr,2021-2040_ssp370,ipsl-cm6a-lr_2021-2040_ssp370,38.353904784112764
1.6781632715811343,PyGEM-OGGM_v13,ipsl-cm6a-lr,2021-2040_ssp370,ipsl-cm6a-lr_2021-2040_ssp370,27.236533656593057
1.6787497715238051,GLIMB,gfdl-esm4,2041-2060_ssp126,gfdl-esm4_2041-2060_ssp126,52.387656945039204
1.6787497715238051,GloGEMflow,gfdl-esm4,2041-2060_ssp126,gfdl-esm4_2041-2060_ssp126,76.34032971550734
1.6787497715238051,OGGM_v16,gfdl-esm4,2041-2060_ssp126,gfdl-esm4_2041-2060_ssp126,47.4554640519574
1.6787497715238051,PyGEM-OGGM_v13,gfdl-esm4,2041-2060_ssp126,gfdl-esm4_2041-2060_ssp126,31.755040784303816
1.6844760802167618,GLIMB,gfdl-esm4,2081-2100_ssp126,gfdl-esm4_2081-2100_ssp126,47.01130066357354
1.6844760802167618,GloGEMflow,gfdl-esm4,2081-2100_ssp126,gfdl-esm4_2081-2100_ssp126,73.78188212447775
1.6844760802167618,OGGM_v16,gfdl-esm4,2081-2100_ssp126,gfdl-esm4_2081-2100_ssp126,43.04348231306363
1.6844760802167618,PyGEM-OGGM_v13,gfdl-esm4,2081-2100_ssp126,gfdl-esm4_2081-2100_ssp126,29.562141461154635
1.695689895147091,GLIMB,mpi-esm1-2-hr,2061-2080_ssp126,mpi-esm1-2-hr_2061-2080_ssp126,47.883853431437714
1.695689895147091,GloGEMflow,mpi-esm1-2-hr,2061-2080_ssp126,mpi-esm1-2-hr_2061-2080_ssp126,76.21638337415477
1.695689895147091,OGGM_v16,mpi-esm1-2-hr,2061-2080_ssp126,mpi-esm1-2-hr_2061-2080_ssp126,51.46656507740214
1.695689895147091,PyGEM-OGGM_v13,mpi-esm1-2-hr,2061-2080_ssp126,mpi-esm1-2-hr_2061-2080_ssp126,31.824897449558296
1.7054887108734946,GLIMB,mri-esm2-0,2021-2040_ssp370,mri-esm2-0_2021-2040_ssp370,45.73273538240617
1.7054887108734946,GloGEMflow,mri-esm2-0,2021-2040_ssp370,mri-esm2-0_2021-2040_ssp370,72.01298982164089
1.7054887108734946,OGGM_v16,mri-esm2-0,2021-2040_ssp370,mri-esm2-0_2021-2040_ssp370,40.37931121234553
1.7054887108734946,PyGEM-OGGM_v13,mri-esm2-0,2021-2040_ssp370,mri-esm2-0_2021-2040_ssp370,28.8462362206192
1.7263241376269964,GLIMB,mri-esm2-0,2021-2040_ssp126,mri-esm2-0_2021-2040_ssp126,41.14696612549938
1.7263241376269964,GloGEMflow,mri-esm2-0,2021-2040_ssp126,mri-esm2-0_2021-2040_ssp126,59.24023437621667
1.7263241376269964,OGGM_v16,mri-esm2-0,2021-2040_ssp126,mri-esm2-0_2021-2040_ssp126,36.35590358486923
1.7263241376269964,PyGEM-OGGM_v13,mri-esm2-0,2021-2040_ssp126,mri-esm2-0_2021-2040_ssp126,25.452638864030344
1.7300556075408982,GLIMB,gfdl-esm4,2061-2080_ssp126,gfdl-esm4_2061-2080_ssp126,53.158408419461225
1.7300556075408982,GloGEMflow,gfdl-esm4,2061-2080_ssp126,gfdl-esm4_2061-2080_ssp126,78.03650744841285
1.7300556075408982,OGGM_v16,gfdl-esm4,2061-2080_ssp126,gfdl-esm4_2061-2080_ssp126,50.89641734983861
1.7300556075408982,PyGEM-OGGM_v13,gfdl-esm4,2061-2080_ssp126,gfdl-esm4_2061-2080_ssp126,30.510573840835637
1.9117346788457827,GLIMB,mri-esm2-0,2021-2040_ssp585,mri-esm2-0_2021-2040_ssp585,44.07892257907498
1.9117346788457827,GloGEMflow,mri-esm2-0,2021-2040_ssp585,mri-esm2-0_2021-2040_ssp585,65.99735102410132
1.9117346788457827,OGGM_v16,mri-esm2-0,2021-2040_ssp585,mri-esm2-0_2021-2040_ssp585,39.84020554239859
1.9117346788457827,PyGEM-OGGM_v13,mri-esm2-0,2021-2040_ssp585,mri-esm2-0_2021-2040_ssp585,23.81823638481188
1.9477879408841847,GLIMB,mri-esm2-0,2081-2100_ssp126,mri-esm2-0_2081-2100_ssp126,40.706089203464785
1.9477879408841847,GloGEMflow,mri-esm2-0,2081-2100_ssp126,mri-esm2-0_2081-2100_ssp126,55.86544335432461
1.9477879408841847,OGGM_v16,mri-esm2-0,2081-2100_ssp126,mri-esm2-0_2081-2100_ssp126,34.17551576863108
1.9477879408841847,PyGEM-OGGM_v13,mri-esm2-0,2081-2100_ssp126,mri-esm2-0_2081-2100_ssp126,24.18279227560343
1.996245046811256,GLIMB,mri-esm2-0,2041-2060_ssp126,mri-esm2-0_2041-2060_ssp126,39.1904036247735
