gcm,period_scenario,temp_ch_ipcc,mass_remaining
gfdl-esm4,2041-2060_ssp126,1.6787497715238051,76.34032971550734
gfdl-esm4,2041-2060_ssp126,1.6787497715238051,47.4554640519574
gfdl-esm4,2041-2060_ssp126,1.6787497715238051,31.755040784303816
gfdl-esm4,2081-2100_ssp126,1.6844760802167618,47.01130066357354
gfdl-esm4,2081-2100_ssp126,1.6844760802167618,73.78188212447775
gfdl-esm4,2081-2100_ssp126,1.6844760802167618,43.04348231306363
gfdl-esm4,2081-2100_ssp126,1.6844760802167618,29.562141461154635
mpi-esm1-2-hr,2061-2080_ssp126,1.695689895147091,47.883853431437714
mpi-esm1-2-hr,2061-2080_ssp126,1.695689895147091,76.21638337415477
mpi-esm1-2-hr,2061-2080_ssp126,1.695689895147091,51.46656507740214
mpi-esm1-2-hr,2061-2080_ssp126,1.695689895147091,31.824897449558296
mri-esm2-0,2021-2040_ssp370,1.7054887108734946,45.73273538240617
mri-esm2-0,2021-2040_ssp370,1.7054887108734946,72.01298982164089
mri-esm2-0,2021-2040_ssp370,1.7054887108734946,40.37931121234553
mri-esm2-0,2021-2040_ssp370,1.7054887108734946,28.8462362206192
mri-esm2-0,2021-2040_ssp126,1.7263241376269964,41.14696612549938
mri-esm2-0,2021-2040_ssp126,1.7263241376269964,59.24023437621667
mri-esm2-0,2021-2040_ssp126,1.7263241376269964,36.35590358486923
mri-esm2-0,2021-2040_ssp126,1.7263241376269964,25.452638864030344
gfdl-esm4,2061-2080_ssp126,1.7300556075408982,53.158408419461225
gfdl-esm4,2061-2080_ssp126,1.7300556075408982,78.03650744841285
gfdl-esm4,2061-2080_ssp126,1.7300556075408982,50.89641734983861
gfdl-esm4,2061-2080_ssp126,1.7300556075408982,30.51057384083564
mri-esm2-0,2021-2040_ssp585,1.9117346788457827,44.07892257907498
mri-esm2-0,2021-2040_ssp585,1.9117346788457827,65.99735102410132
mri-esm2-0,2021-2040_ssp585,1.9117346788457827,39.84020554239859
mri-esm2-0,2021-2040_ssp585,1.9117346788457827,23.81823638481188
mri-esm2-0,2081-2100_ssp126,1.9477879408841847,40.70608920346479
mri-esm2-0,2081-2100_ssp126,1.9477879408841847,55.86544335432461
mri-esm2-0,2081-2100_ssp126,1.9477879408841847,34.17551576863108
mri-esm2-0,2081-2100_ssp126,1.9477879408841847,24.18279227560343
mri-esm2-0,2041-2060_ssp126,1.996245046811256,39.1904036247735
mri-esm2-0,2041-2060_ssp126,1.996245046811256,53.99255899701125
mri-esm2-0,2041-2060_ssp126,1.996245046811256,32.76951870376307
