tidewater_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
marine-terminating,3244,281471.243,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,0.4091573156083825,0.13513813944597264,0.4579932774621564,0.0326638229107348,0.46219988445535803,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,0.5887149072457691,0.18840009895393062,0.6675165285160931,0.057351357659429,0.6382951326615445
marine-terminating,3244,281471.243,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,0.3500465979071175,0.19026475804956564,0.4834490204433764,0.07627029391321935,0.4178781866580401,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,0.49055681944052754,0.2561184178321102,0.6681618104645107,0.0905632935242785,0.5648871097102933
marine-terminating,3244,281471.243,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,0.35455690155367736,0.21380643635138138,0.5282841105111747,0.08568896667387482,0.42474388125741613,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,0.5062030937215822,0.2963757052400569,0.750176919276448,0.10485438649495604,0.5838727668057877
marine-terminating,3244,281471.243,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,0.27844330712888615,0.16990686364732321,0.3869679782391769,0.07238768742517096,0.35005031671333386,0.7141171463168967,0.08568689652046131,0.7284940251401966,0.008041347856988179,0.7435368317244597,0.40018000518310665,0.2367747824527581,0.5592516451302424,0.08297731120288873,0.48301207472211233
marine-terminating,3244,281471.243,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,0.4335116752979964,0.12971778250322866,0.4757977120645663,0.022698653150708986,0.4834835031769105,0.7139052908966909,0.09002105784368485,0.7212779955925758,0.00782144466039203,0.7391012609802895,0.6029538356711995,0.1595678092588504,0.6637579369619179,0.04360801546807225,0.6530120110681005
marine-terminating,3244,281471.243,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,0.23419478132789198,0.14390601380076107,0.2937552453834325,0.0436570172116742,0.3018672213939457,0.7139052908966909,0.09002105784368485,0.7212779955925758,0.00782144466039203,0.7391012609802895,0.3386141319633074,0.19598287726531927,0.43203296958507037,0.06310662293155703,0.41782091357023377
marine-terminating,3244,281471.243,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,0.1825055811856193,0.1402287364757819,0.2438267467384578,0.06055459685463831,0.2217440226586678,0.7139052908966909,0.09002105784368485,0.7212779955925758,0.00782144466039203,0.7391012609802895,0.25178046570533347,0.1893310979360398,0.33106506625850807,0.07590018575666499,0.2959784787577542
marine-terminating,3244,281471.243,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,0.09874784669919286,0.10066378008682915,0.1497889417113354,0.07246608526578574,0.13325130023318102,0.7139052908966909,0.09002105784368485,0.7212779955925758,0.00782144466039203,0.7391012609802895,0.1350551925278508,0.13716517919570684,0.2033816493710919,0.08950431684661986,0.17729337310274226
marine-terminating,3244,281471.243,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,0.4457674456929831,0.13497755284577484,0.4829972057346625,0.029883027710626703,0.49458434202901025,0.7260596937182346,0.09167011824048911,0.7391309981587644,0.011655642299185254,0.7504462125018554,0.6088667006122666,0.16158240119567152,0.6596209835426553,0.028319177458595635,0.6571778370980765
marine-terminating,3244,281471.243,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,0.21398445795519602,0.14544429486045315,0.2640423192059619,0.039297940783868446,0.2828170654610642,0.7260596937182346,0.09167011824048911,0.7391309981587644,0.011655642299185254,0.7504462125018554,0.3072626488204479,0.20690252698009765,0.37912211779484617,0.06804686934774934,0.386849358215827
marine-terminating,3244,281471.243,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,0.12901946730317787,0.11453544997395967,0.1875502536058779,0.07375789726775064,0.17376417482214,0.7260596937182346,0.09167011824048911,0.7391309981587644,0.011655642299185254,0.7504462125018554,0.17815503553400663,0.1562032217815374,0.25618334765438405,0.08976312707556122,0.23205175769839068
marine-terminating,3244,281471.243,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,0.05533445859113412,0.08223066786361499,0.0806157713574758,0.06453063978046567,0.08206383562116815,0.7260596937182346,0.09167011824048911,0.7391309981587644,0.011655642299185254,0.7504462125018554,0.07687003119951474,0.11660010132795207,0.11177487569425398,0.08879596713326979,0.11036705025900809
marine-terminating,3244,281471.243,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,0.6949022385723982,0.13736406465216122,0.7065714768835928,0.038738752557702594,0.7012513676775168,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,0.9417768577895282,0.18435852111491116,0.9093516779871499,0.05080784513503206,0.9185140317960063
marine-terminating,3244,281471.243,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,0.7489182731808203,0.1617053586325739,0.8357329834636923,0.03553515286334652,0.7573294331652836,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,1.0223970212576747,0.19524865618830806,1.1069301401264424,0.025181933249533772,1.004229381881828
marine-terminating,3244,281471.243,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,0.6798723655868828,0.15714528896719754,0.7390321804585416,0.025572133414076492,0.7099864231349725,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,0.9197617992978434,0.15605682654571157,0.9713272237294768,0.03191170714455016,0.9351510987784941
marine-terminating,3244,281471.243,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,0.5873180085329456,0.15436089835520564,0.6128152908404789,0.050953467882420944,0.6180348958475017,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,0.7837026170001575,0.1638230622903685,0.7908202543789732,0.052362035837922316,0.8056636457841739
marine-terminating,3244,281471.243,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,0.42311038741226653,0.1587259993535347,0.3803538604097879,0.02659744909907205,0.47278172112446826,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,0.5636501377288812,0.18564376812120695,0.49334156301255916,0.021919673854627564,0.6166302751165906
marine-terminating,3244,281471.243,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,0.4517379902942518,0.15295906779256313,0.5136143997715354,0.031005300083474657,0.5085129893362461,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,0.599450120341048,0.18036323600443366,0.6628043985700098,0.03068520201611069,0.6621306414477911
marine-terminating,3244,281471.243,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,0.4369186302978963,0.14569013889875773,0.4871133112092851,0.0365826110298913,0.49471673161324753,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,0.5840525318972721,0.17614554116829365,0.6345726257081282,0.028626247508357405,0.6468317802155169
marine-terminating,3244,281471.243,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,0.3574469774714364,0.15162384098756018,0.339644107048192,0.04144833590377575,0.4253562339693939,0.7417550622090914,0.0961179083384093,0.7749109705361801,0.02968141682268799,0.7643520869250526,0.48119376617243687,0.18413286774833137,0.4509932849693321,0.047196706039509595,0.5593159839103846
marine-terminating,3244,281471.243,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,0.4431747909894721,0.1595143335153067,0.4651616569109797,0.04580067300932772,0.5015311908560629,0.7302111878970099,0.09518983796204644,0.753365798402789,0.010013030401106848,0.7555950509944162,0.6003607906274181,0.18701273341493035,0.6245192214594533,0.050931439313968596,0.662227441972118
marine-terminating,3244,281471.243,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,0.27768133076319496,0.1427447605947895,0.2562576173409259,0.015727656986903593,0.3509211013791946,0.7302111878970099,0.09518983796204644,0.753365798402789,0.010013030401106848,0.7555950509944162,0.37806556150246856,0.18651328888818702,0.34023440750699774,0.027333169197093166,0.46151567029949564
marine-terminating,3244,281471.243,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,0.2255546756495735,0.14949879116902404,0.1806447810965438,0.015419989490672803,0.2966130829164869,0.7302111878970099,0.09518983796204644,0.753365798402789,0.010013030401106848,0.7555950509944162,0.30209376157514034,0.20070934551749192,0.2291140401630047,0.031175128683637393,0.3841270112221412
