RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-09.01026,0.11875,0.032392969,176.2116395,0.017856165,,0,0,0,0,1,1,-0.001940877,-0.019797042,-0.101739104,-1.037743989,19.077,0,-0.007297726,-0.38254057,-0.38254057,0,0,0
RGI60-09.01064,0.11875,0.032392969,369.8715305,0.073068382,,0,0,0,0,1,1,-0.002643698,-0.07571208,-0.057319672,-1.641561082,46.122,0,-0.007197985,-0.156064033,-0.156064033,0,0,0
RGI60-09.01066,0.11875,0.032392969,181.9954588,0.016188485,,0,0,0,0,1,1,-0.011301164,-0.027489649,-0.193053582,-0.469595467,58.539,0,-0.012988467,-0.221877155,-0.221877155,0,0,0
RGI60-17.00456,2.9,0.83485,49.01676081,0,0.34,0.11,0.34,0,0,1,1,0,0,0,0,113.7,0,0,0,0,0,5,
RGI60-17.04876,2.9,0.83485,410.7852861,0.419354789,0.41,0.14,0.41,1.99E-05,0.771246685,1,1,0,0,0,0,163.403,0,0,0,0,0.419354789,2.9,
RGI60-17.04877,2.9,0.83485,142.9840484,0.041668988,0.72,0.2,0.72,4.34E-06,0.084496306,1,1,0,0,0,0,153.243,0,0,0,0,0.084496306,5,
RGI60-17.04882,2.9,0.83485,115.776189,0.018921773,0.42,0.12,0.42,2.40E-06,0.037372387,1,1,0,0,0,0,104.276,0,0,0,0,0.037372387,5,
RGI60-17.04889,2.9,0.83485,107.5488688,0.008413963,1.24,0.33,1.24,9.54E-07,0.025339448,1,1,0,0,0,0,166.962,0,0,0,0,0.025339448,5,
RGI60-17.04918,2.9,0.83485,84.08374764,0.00031551,1.86,0.5,1.86,1.13E-07,0.003496466,1,1,0,0,0,0,405.862,0,0,0,0,0.003496466,5,
RGI60-17.04936,2.9,0.83485,128.6783776,0.031031381,3.15,0.83,3.15,3.82E-06,0.073684677,1,1,0,0,0,0,469.756,0,0,0,0,0.073684677,5,
RGI60-17.04967,2.9,0.83485,114.9973298,0.005473221,0.41,0.12,0.41,7.79E-07,0.016203368,1,1,0,0,0,0,163.248,0,0,0,0,0.016203368,5,
RGI60-17.04971,2.9,0.83485,41.73989278,0,0.69,0.21,0.69,0,0,1,1,0,0,0,0,99.318,0,0,0,0,0,5,
RGI60-17.04997,2.9,0.83485,51.00189386,0.000286733,0.94,0.25,0.94,9.88E-08,0.000494367,1,1,0,0,0,0,213.824,0,0,0,0,0.000494367,5,
RGI60-17.05031,2.9,0.83485,216.1676148,0.027602516,0.2,0.06,0.2,7.01E-07,0.07401361,1,1,0,0,0,0,165.106,0,0,0,0,0.07401361,5,
RGI60-17.05181,3.5,0.562425,363.1000134,2.428431695,2.48,0.76,2.48,3.43E-05,3.775936908,1,1,0,0,0,0,1234.714,0,0,0,0,2.428431695,3.5,
RGI60-17.06074,2.9,0.83485,180.6741051,0.035955196,1.58,0.44,1.58,1.08E-06,0.139599497,1,1,0,0,0,0,488.615,0,0,0,0,0.139599497,5,
RGI60-17.15771,1.2,1,203.1245576,0.029109225,0.03,0.05,0.03,5.29E-06,0.392918508,1,1,0,0,0,0,166.546,0,0,0,0,0.029109225,1.2,
RGI60-17.15808,2.9,0.83485,218.4337575,0.060102229,0.9903,0.3,0.9903,2.38E-06,0.168691462,1,1,0,0,0,0,721.95,0,0,0,0,0.168691462,5,
RGI60-17.01573,2.9,0.83485,699.6872032,0.092444903,,0,0,0,0,1,1,-0.062402167,-0.15484707,-0.947166443,-2.350334226,65.883,0,-0.090135638,-1.368116778,-1.368116778,0,0,0
RGI60-17.01596,2.9,0.83485,69.54296303,0.000119488,,0,0,0,0,1,1,-0.005324613,-0.005444101,-0.214201164,-0.219007996,24.858,0,-0.005360459,-0.215643213,-0.215643213,0,0,0
RGI60-17.01599,2.9,0.83485,485.694253,0.020242842,,0,0,0,0,1,1,-0.010541226,-0.030784069,-0.584357569,-1.70652855,18.039,0,-0.016614079,-0.921008863,-0.921008863,0,0,0
RGI60-17.01652,2.9,0.83485,411.6306195,0.016903597,,0,0,0,0,1,1,-0.007539512,-0.024443109,-0.422784278,-1.370667228,17.833,0,-0.012610591,-0.707149163,-0.707149163,0,0,0
RGI60-17.01660,2.9,0.83485,304.7805628,0.005465458,,0,0,0,0,1,1,0.001178416,-0.004287042,0.475935268,-1.73143878,2.476,0,-0.000461222,-0.186276947,-0.186276947,0,0,0
RGI60-17.01665,2.9,0.83485,240.0220189,0.006710166,,0,0,0,0,1,1,0.000383078,-0.006327088,0.034054401,-0.562457782,11.249,0,-0.001629972,-0.144899254,-0.144899254,0,0,0
RGI60-17.01676,2.9,0.83485,97.40981792,0.000167179,,0,0,0,0,1,1,-0.01136974,-0.011536919,-0.764969402,-0.776217402,14.863,0,-0.011419894,-0.768343802,-0.768343802,0,0,0
RGI60-17.01723,2.9,0.83485,41.5687183,0,,0,0,0,0,1,1,-0.007485477,-0.007485477,-0.402401731,-0.402401731,18.602,0,-0.007485477,-0.402401731,-0.402401731,0,0,0
RGI60-17.02074,2.9,0.83485,37.00596295,1.71E-05,,0,0,0,0,1,1,-0.000455194,-0.000472267,-0.024299038,-0.025210442,18.733,0,-0.000460316,-0.024572459,-0.024572459,0,0,0
