RGIId,AAR_mean,AAR_steady,disequilibrium
RGI60-13.00935,0.680519256,0.547837734,1.242191281
RGI60-13.00936,0.888953346,0.823910175,1.078944493
RGI60-13.00940,0.649639062,0.593369318,1.094830896
RGI60-13.00941,0.689182433,0.606923149,1.135534927
RGI60-13.00942,0.631021044,0.783031882,0.805868903
RGI60-13.00944,0.536739019,0.719818985,0.745658325
RGI60-13.00945,0.221842178,0.13949937,1.590273695
RGI60-13.00947,0.553152716,0.705744085,0.783786541
RGI60-13.00948,0.43677728,0.430637318,1.014257849
RGI60-13.00949,0.392066509,0.452069587,0.867270262
RGI60-13.00950,0.051348821,0.227315147,0.225892652
RGI60-13.00951,0.470471777,0.532858209,0.882921139
RGI60-13.00954,0.282100483,0.319231493,0.883686256
RGI60-13.00955,0.402424902,0.46728845,0.861191631
RGI60-13.00956,0.382200339,0.349280603,1.094250111
RGI60-13.00959,0.517498082,0.502930497,1.028965405
RGI60-13.00964,0.702306804,0.707265784,0.99298852
RGI60-13.00965,0.634800071,,
RGI60-13.00967,0.635054723,0.638868114,0.994031021
RGI60-13.00972,0.429612933,0.300142825,1.431361661
RGI60-13.00973,0.612049392,0.526395948,1.162716762
RGI60-13.00974,0.592116753,0.567758599,1.042902306
RGI60-13.00979,0.697338612,0.510073921,1.367132457
RGI60-13.00980,0.366499852,,
RGI60-13.00982,0.551139913,0.399747593,1.37871978
RGI60-13.00983,0.721341661,,
RGI60-13.00985,0.660382097,0.594266711,1.111255409
RGI60-13.00988,0.701972841,0.404416548,1.735766858
RGI60-13.00995,0.762205401,0.764290023,0.997272472
RGI60-13.00997,0.439508221,0.499037641,0.880711562
RGI60-13.00999,0.630933917,0.615330704,1.025357442
RGI60-13.01002,0.651572254,0.591669129,1.101244297
RGI60-13.01006,0.354069597,0.369288493,0.958788599
RGI60-13.01007,0.741835616,0.401703198,1.84672569
RGI60-13.01008,0.420042547,0.201713447,2.082372561
RGI60-13.01009,0.62274613,0.595793607,1.04523802
RGI60-13.01013,0.637554685,0.6429642,0.991586601
RGI60-13.01014,0.643205415,0.40811202,1.576051141
RGI60-13.01015,0.686598167,0.396063935,1.733553867
RGI60-13.01017,0.545095863,0.356734652,1.528014897
RGI60-13.01018,0.689351029,0.651195901,1.058592396
RGI60-13.01019,0.639883372,0.444977772,1.438011994
RGI60-13.01020,0.696933514,0.707291824,0.985354969
RGI60-13.01021,0.643527841,0.418970542,1.535973954
RGI60-13.01022,0.478237371,0.545707235,0.876362526
RGI60-13.01023,0.502807585,0.577424708,0.870776013
