,RGIId,lat,lon,AAR_mean,AAR_steady,disequilibrium
1328,RGI60-08.02436,68.338997,17.851999,,,
1329,RGI60-08.02458,68.220001,17.92,,,
1330,RGI60-08.01026,68.106003,17.997,,,
1331,RGI60-08.01186,61.846001,7.262,,,
1344,RGI60-17.13715,-33.576536,-70.131835,,,
1346,RGI60-17.12369,-41.169998,-71.82,0.23428571428571426,0.4124585644745471,0.5680224256809489
1353,RGI60-02.15500,37.74668,-119.28274,,,
1354,RGI60-02.13701,40.023899,-105.648499,,,
1355,,,,,,
1367,RGI60-02.17739,48.758999,-121.825302,0.39699999999999996,0.6455583979150575,0.6149714747452439
1388,RGI60-01.02228,69.302101,-143.847595,,,
1394,,51.839171,-116.19281,,,
1400,RGI60-02.03688,51.23,-117.419998,0.414,0.8703799656694456,0.47565433067105956
1402,RGI60-02.03210,51.114101,-118.060997,,,
1412,,75.897531,-79.113836,,,
1413,,,,,,
1456,RGI60-07.01481,78.8,12.98,0.26039999999999996,0.43120665157939586,0.6038867884950839
1461,RGI60-08.00199,68.08,18.68,0.22300000000000003,0.3195491593246555,0.6978581964393045
1505,,-16.35054,-68.127251,,0.0,
1507,RGI60-11.01704,46.483799,10.771,0.0025,0.31975509425179766,0.007818483723769304
1510,,33.074618,92.083893,,,
1511,RGI60-13.45335,43.111,86.811,0.22199999999999998,0.5362502715616344,0.41398580434002485
1512,RGI60-13.45334,43.118,86.804,0.31300000000000006,0.563414757618834,0.5555410037941417
1516,RGI60-15.04847,28.82,83.49,0.4716666666666667,0.6125895578112064,0.7699554467626583
1538,RGI60-18.02910,-42.888754,171.526768,0.39299999999999996,0.5411507387608118,0.7262301829245136
1597,RGI60-18.01130,-44.07078,169.435174,0.327,0.45427771804364375,0.7198239909459618
1624,,-0.47,-78.150002,0.6625000000000001,0.7145906077988736,0.9271042646931419
1629,RGI60-05.11186,65.6957,-37.8032,0.123,0.46783557007808185,0.2629128862080138
1664,RGI60-02.18077,48.572899,-121.093002,0.27,0.647518485379513,0.416976512789055
1665,RGI60-02.17612,48.97609,-121.2419,0.41,0.41816253125856817,0.9804800032322337
1666,RGI60-02.17369,48.6735,-121.527,0.105,0.3785487880014803,0.2773750790600587
1667,RGI60-02.17863,48.41,-120.790001,0.16,0.31091855019211256,0.5146042264160118
1674,,46.3022,9.6441,,,
1675,,-49.273667,-73.00335,0.3688888888888889,0.7049967641967687,0.5232490525104451
2000,,-54.781156,-68.403561,0.3448888888888889,0.5472537033548885,0.6302175513378516
2001,RGI60-17.14088,-33.017539,-70.094826,,,
2295,RGI60-08.01780,60.57,7.47,,,
2296,RGI60-08.01779,60.539001,7.368,0.45200000000000007,0.6055180553659977,0.7464682448268111
2307,RGI60-07.00492,78.677399,12.0692,0.02125,0.22914384097644874,0.09273650956293458
2488,RGI60-11.01662,46.506034,9.363804,0.157,0.4231533219296616,0.3710239099247748
2660,,46.846401,8.9006,0.28300000000000003,0.565586917196395,0.5003651806566289
2665,,-63.82,-57.43,0.396,0.5747138930591738,0.6890385020833785
2667,,-16.302999,-68.107002,0.24312499999999998,0.3604627103022324,0.6744803083685138
2669,RGI60-07.00490,78.6651,12.1249,0.015,0.23691095938925202,0.06331492658114872
2670,RGI60-08.02384,67.299004,16.056999,0.5075,0.526619349656013,0.9636941755586805
2671,RGI60-08.02962,60.0709,6.365,,0.5083813884602674,
2718,,4.8179,-75.3657,,,
2721,,4.815,-75.373,0.0011111111111111111,0.06856998949976179,0.01620404376924939
2763,,6.494981,-72.31025,0.6475,0.6010277635556653,1.0773212807498376
2851,,-35.290001,-70.550003,0.0,0.0,
2867,RGI60-11.03232,42.771198,-0.14344,0.12571428571428572,0.4439231568532668,0.2831892947540896
2921,RGI60-14.15990,32.234901,77.515701,0.51875,0.5831860780982999,0.8895102600727057
3044,RGI60-14.15536,32.234798,77.373802,,0.20647031780537622,
3062,,64.220001,-16.33,,0.7619530872912939,
3067,RGI60-06.00377,64.669998,-16.17,0.614,0.622695279519089,0.9860360600038522
3068,RGI60-06.00477,64.669998,-17.0,0.6559999999999999,0.6138347514618178,1.0686915304774902
3069,RGI60-06.00472,64.650002,-15.58,0.453,0.5567252406328105,0.8136868367690505
3088,RGI60-06.00234,64.800003,-18.58,0.465,0.5394636932370459,0.8619671830179575
3089,RGI60-06.00238,64.919998,-18.83,0.422,0.5487443101181406,0.7690284750454114
3090,RGI60-06.00236,64.720001,-19.049999,0.5720000000000001,0.5780814998888821,0.9894798572691722
3096,RGI60-06.00424,64.580002,-17.83,0.523,0.5804992649797596,0.9009485998543609
3101,,64.620003,-20.299999,,,
3112,,,,,,
3125,,64.699921,-14.91099,,,
3126,RGI60-06.00443,64.32,-18.07,0.40099999999999997,0.5983391869746515,0.6701884294551281
3295,RGI60-02.18774,48.8139,-121.770103,0.26599999999999996,0.6144944976963383,0.4328761298875744
3332,RGI60-11.02679,46.058998,7.9178,0.286,0.5442345927981955,0.5255086754583607
3334,RGI60-01.01104,58.364,-134.34584,0.036,0.8304058102732135,0.04335229782189935
3337,RGI60-07.00513,78.647863,12.234595,,,
3339,RGI60-08.02969,59.969092,6.361815,0.7325,0.5086216363926342,1.4401668108246604
3343,RGI60-08.02918,59.945,6.283,0.6024999999999999,0.5040606197032866,1.195292741485457
3345,,46.451431,10.719597,,0.10191879284757704,
3346,,46.449923,10.688714,,0.09567396472177109,
3350,RGI60-05.20030,74.38,-20.82,0.37720000000000004,0.5187320499382263,0.7271576916153903
3366,RGI60-19.02059,-62.668999,-60.353901,0.721,0.5764809480607848,1.2506918093743784
3367,RGI60-19.02056,-62.687801,-60.401501,0.5309999999999999,0.5923484492613651,0.8964318226242269
3454,RGI60-15.07605,30.855,78.818001,,,
