RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-05.05526,0.17500000000000002,0.07105,23.44611204120656,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0013546482996090793,-0.0013546482996090793,-0.4467837399766093,-0.44678373997660925,3.032,0.0,-0.0013546482996090793,-0.4467837399766093,-0.4467837399766093,0.0,0.0,0.0
RGI60-05.05531,0.17500000000000002,0.07105,97.16332754817763,8.26982198132199e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00557456104295961,-0.00565725926277283,-0.9168685925920411,-0.9304702734823734,6.08,0.0,-0.005599370508903576,-0.9209490968591408,-0.9209490968591408,0.0,0.0,0.0
RGI60-05.05553,0.17500000000000002,0.07105,98.12626975497848,8.461125428604632e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0015025678049542107,-0.0015110289303828153,-0.5943701760103681,-0.5977171401830758,2.528,0.0,-0.0015051061425827921,-0.5953742652621804,-0.5953742652621804,0.0,0.0,0.0
RGI60-05.05557,0.17500000000000002,0.07105,44.76700033471559,1.092168549960382e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0009564221671869205,-0.0009575143357368809,-0.3031449024364249,-0.3034910731337182,3.155,0.0,-0.0009567498177519085,-0.3032487536456129,-0.3032487536456129,0.0,0.0,0.0
RGI60-05.05680,0.17500000000000002,0.07105,185.66500807341754,0.0002621411355548926,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00866377965425944,-0.008925920789814332,-0.7576545390694743,-0.7805789934249525,11.435,0.0,-0.008742421994925908,-0.7645318753761178,-0.7645318753761178,0.0,0.0,0.0
RGI60-05.05838,0.17500000000000002,0.07105,103.99521516735489,1.594661755305535e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0002746394078377801,-0.0002905860253908355,-0.646210371383012,-0.6837318244490248,0.425,0.0,-0.00027942339310369673,-0.6574668073028157,-0.6574668073028157,0.0,0.0,0.0
RGI60-05.06128,0.17500000000000002,0.07105,38.214178599595,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0005079715627595055,-0.0005079715627595055,-0.5044404794036798,-0.5044404794036798,1.0070000000000001,0.0,-0.0005079715627595055,-0.5044404794036798,-0.5044404794036798,0.0,0.0,0.0
RGI60-05.06208,0.17500000000000002,0.07105,43.25460103255232,8.137262040402679e-07,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0006394210341245348,-0.0006402347603285751,-0.4376598453966701,-0.4382168106287305,1.4609999999999999,0.0,-0.000639665151985747,-0.4378269349662882,-0.4378269349662882,0.0,0.0,0.0
RGI60-05.06236,0.17500000000000002,0.07105,180.3388673631739,0.0006732231019059084,,0.0,0.0,0.0,0.0,1.0,1.0,-0.022785726947117356,-0.023458950049023264,-0.7439022836146704,-0.7658814903370311,30.63,0.0,-0.022987693877689126,-0.7504960456313786,-0.7504960456313786,0.0,0.0,0.0
RGI60-05.06245,0.17500000000000002,0.07105,139.5573312240153,0.0003159435710106227,,0.0,0.0,0.0,0.0,1.0,1.0,-0.030678475550472588,-0.03099441912148321,-0.7429641468195435,-0.7506155943399014,41.292,0.0,-0.030773258621775774,-0.7452595810756509,-0.7452595810756509,0.0,0.0,0.0
