RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1
RGI60-09.00814,0.4,0.1597875,130.7635469199281,0.008281506987172156,0.008300969364717524,0.0053443557940302255,0.008300969364717524,9.48627278402047e-07,0.0907105222827492,1.0,1.0,0.005241064430445865,-0.003059904934271659,0.5260641212374998,-0.3071334500234277,9.971,-0.003059904934271659,0.005241064430445865,-0.3071334500234277,0.5260641212374998,0.008281506987172156,0.4
RGI60-09.00815,0.11875,0.03239296875,0.12770309604326968,0.02430839159420445,0.044233949998643635,0.02624578933491319,0.0369791891036528,3.1159628953227605e-05,0.02968066930318452,1.0,1.0,0.026736194017004417,-0.010242995086648384,0.6218153363491503,-0.23841339839307304,42.997,-0.010242995086648384,0.03399095491199525,-0.23841339839307304,0.7911649870610441,0.02430839159420445,0.11875
RGI60-09.00818,0.11875,0.03239296875,0.12061639292283388,0.03591089619662954,0.061183197765765016,0.03889625132002618,0.04461677608338446,5.120043223559597e-05,0.031219471435587263,1.0,1.0,0.04110945551671503,-0.0035073205666694323,0.6218153363491503,-0.053092871193562284,66.112,-0.0035073205666694323,0.05767587719909556,-0.053092871193562284,0.8730818472105492,0.03591089619662954,0.11875
RGI60-09.00820,0.11875,0.03239296875,119.4233960536816,0.5647134906098337,0.07420202159521881,0.04637475076499332,0.027184060083250663,0.0002290102413651853,0.02308938326044399,1.0,1.0,0.013865238369913357,-0.013318821713337307,0.6218153363491503,-0.597732691674812,22.298,-0.013318821713337307,0.0608831998818815,-0.597732691674812,2.732364748657176,0.5647134906098337,0.11875
RGI60-09.00822,0.3250000000000001,0.17995,221.16131791040192,0.013450884153105427,0.01648550928029919,0.011577276598119095,0.013421162263719949,3.6078826182397316e-06,0.3154310552004875,1.0,1.0,0.011525347259231504,-0.0018958150044884445,0.6218153363491503,-0.10236544168594186,18.535,-0.0018958150044884445,0.014589694275810744,-0.10236544168594186,0.7877775495342788,0.013450884153105427,0.3250000000000001
RGI60-09.00823,0.11875,0.03239296875,0.2207102261408984,0.02275301627489933,0.011883275282831358,0.007638631021081872,0.011883275282831358,8.522624509227144e-06,0.005036924925790583,1.0,1.0,0.00695414727833445,-0.004929128004496908,0.5791381852257784,-0.41049551196068457,12.017,-0.004929128004496908,0.00695414727833445,-0.41049551196068457,0.5791381852257784,0.02275301627489933,0.11875
RGI60-09.00824,0.11875,0.03239296875,37.5152688255106,0.001616220616945641,0.007426149540332225,0.0062618274968978295,0.002842055271465237,2.2048059619656544e-06,0.001690485042044101,1.0,1.0,0.002400829013644069,-0.0004412262578211676,0.6218153363491503,-0.11436787024882733,3.861,-0.0004412262578211676,0.006984923282511058,-0.11436787024882733,1.8105241596841188,0.001616220616945641,0.11875
RGI60-09.00826,0.11875,0.03239296875,0.26790232122549185,0.019926756627582597,0.015147807252871275,0.010614146234607857,0.015147807252871275,5.0067155159841755e-06,0.001668041035833018,1.0,1.0,0.00818333186631754,-0.0069644753865537356,0.4136634980858502,-0.3520508880487374,19.799,-0.0069644753865537356,0.00818333186631754,-0.3520508880487374,0.4136634980858502,0.019926756627582597,0.11875
RGI60-09.00827,0.11875,0.03239296875,0.2398264361707589,0.034927087777845645,0.02839233829927504,0.01950436978706993,0.025400595347576996,1.9128219754305828e-05,0.016650848953896385,1.0,1.0,0.013916849042830332,-0.01148374630474666,0.6218153363491503,-0.5135233663965184,22.381,-0.01148374630474666,0.016908591994528373,-0.5135233663965184,0.756108403271365,0.034927087777845645,0.11875
RGI60-09.00829,0.11875,0.03239296875,0.20132607844736228,0.2965431945381274,0.1096147773980016,0.06312264528315077,0.1096147773980016,0.00012594222067546624,0.10018737766332486,1.0,1.0,0.06196531439487037,-0.04764946300313122,0.6132203181305369,-0.4715479804609567,101.13,-0.04764946300313122,0.06196531439487037,-0.4715479804609567,0.6132203181305369,0.2965431945381274,0.11875
